Location,Longitude,Latitude
"Site 132/2, Plesetsk Cosmodrome, Russia",62.930, 40.569
"Site 133/3, Plesetsk Cosmodrome, Russia",62.950, 40.568
"Site 138 (LA-2B), Jiuquan Satellite Launch Center, China",40.958, 100.294
"Site 158, Plesetsk Cosmodrome, Russia",62.925, 40.593
"Site 16/2, Plesetsk Cosmodrome, Russia",62.830, 40.450
"Site 161/35, Baikonur Cosmodrome, Kazakhstan",45.998, 63.378
"Site 162, Baikonur Cosmodrome, Kazakhstan",45.997, 63.325
"Site 175/58, Baikonur Cosmodrome, Kazakhstan",46.006, 63.596
"Site 175/59, Baikonur Cosmodrome, Kazakhstan",46.005, 63.605
"Site 191/66, Baikonur Cosmodrome, Kazakhstan",45.982, 63.603
"Site 1S, Vostochny Cosmodrome, Russia",51.867, 128.329
"Site 200/39, Baikonur Cosmodrome, Kazakhstan",45.987, 63.601
"Site 250, Baikonur Cosmodrome, Kazakhstan",46.087, 63.321
"Site 31/6, Baikonur Cosmodrome, Kazakhstan",45.941, 63.311
"Site 32/1, Plesetsk Cosmodrome, Russia",62.948, 40.557
"Site 32/2, Plesetsk Cosmodrome, Russia",62.941, 40.553
"Site 35/1, Plesetsk Cosmodrome, Russia",62.997, 40.580
"Site 370/13, Yasny Cosmodrome, Russia",51.216, 59.547
"Site 41/1, Plesetsk Cosmodrome, Russia",62.927, 40.578
"Site 41/15, Baikonur Cosmodrome, Kazakhstan",45.961, 63.293
"Site 43/3, Plesetsk Cosmodrome, Russia",62.890, 40.574
"Site 43/4, Plesetsk Cosmodrome, Russia",62.889, 40.571
"Site 45/1, Baikonur Cosmodrome, Kazakhstan",45.967, 63.310
"Site 45/2, Baikonur Cosmodrome, Kazakhstan",45.974, 63.327
"Site 5020 (LA-2A), Jiuquan Satellite Launch Center, China",40.967, 100.283
"Site 81/23, Baikonur Cosmodrome, Kazakhstan",45.920, 63.289
"Site 81/24, Baikonur Cosmodrome, Kazakhstan",45.921, 63.304
"Site 86/1, Kapustin Yar, Russia",48.570, 45.756
"Site 90/19, Baikonur Cosmodrome, Kazakhstan",45.934, 63.312
"Site 90/20, Baikonur Cosmodrome, Kazakhstan",45.933, 63.324
"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",40.967, 100.288
"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",40.966, 100.296
"Site 95, Jiuquan Satellite Launch Center, China",40.958, 100.293
"Stargazer, Base Aerea de Gando, Gran Canaria",27.931, -15.393
"Stargazer, Cape Canaveral AFS, Florida, USA",28.392, -80.583
"Stargazer, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",9.046, 167.743
"Stargazer, Vandenberg AFB, California, USA",34.746, -120.570
"Stargazer, Wallops Flight Facility, Virginia, USA",37.931, -75.465
"Svobodny Cosmodrome, Russia",51.368, 128.146
"Tai Rui Barge, Yellow Sea",35.350, 119.600
"Taiyuan Satellite Launch Center, China",38.840, 111.603
"Uchinoura Space Center, Japan",31.251, 131.083
"VLS Pad, Alcântara Launch Center, Maranhão, Brazil",2.350, -44.396
"Vertical Launch Area, Spaceport America, New Mexico",32.990, -106.979
"Xichang Satellite Launch Center, China",28.246, 102.026
